#{"t_start": 1768911982.4930196, "env_id": "None"}
r,l,t
-83.696049,4507,3275.167837
-19.798979,40,3276.168617
125.063611,778,3294.706313
54.536751,66,3296.362293
6.968084,34,3297.149557
196.219322,42,3298.170893
-8.524637,28,3298.785155
87.962782,192,3303.469196
213.195753,190,3308.119972
-50.0,1,3308.152808
301.380648,723,3325.452527
106.39117,128,3328.587015
-50.0,1,3328.622179
203.750834,198,3333.455736
313.10349,217,3338.524028
21.337224,53,3339.899387
148.513792,53,3341.206936
141.883636,104,3343.810679
242.981931,159,3347.789483
194.904299,79,3349.700689
153.8738,39,3350.678355
452.390813,139,3354.042392
261.562117,49,3355.232168
195.767152,67,3356.950778
429.228114,326,3364.648475
294.514096,213,3369.753973
421.963703,194,3374.476179
14.998139,67,3376.181928
38.913638,70,3377.966265
174.514293,64,3379.515089
428.85965,95,3387.509956
184.023579,168,3390.377079
410.488561,72,3391.618273
-273.94057,5352,3482.165292
184.263511,154,3484.775162
322.244218,96,3487.1542
360.507014,158,3491.031931
230.075689,78,3492.956971
-41.626871,12,3493.229682
254.042578,78,3495.17106
305.650426,160,3499.057997
183.265433,199,3503.820716
-52.762871,3,3503.886147
322.31938,101,3506.315259
200.020433,583,3520.173373
175.541863,129,3523.310899
213.971688,118,3526.15448
39.98549,706,3543.037066
407.258586,100,3545.487841
19.26681,20,3546.001824
295.338659,176,3550.217829
-32.921166,16,3550.655875
254.616314,115,3553.365071
281.758541,198,3558.11996
42.5034,45,3559.214916
88.793543,50,3560.417562
-46.356844,15,3560.749864
161.829144,46,3561.907542
-22.591734,9,3562.139758
-1.634895,160,3566.048658
-50.0,1,3566.079987
267.790182,157,3569.805358
266.514886,242,3575.696978
-25.373642,20,3576.15757
316.362146,848,3596.247773
-16.121835,8,3596.48213
141.34568,113,3599.226326
283.05281,123,3602.172536
191.568738,160,3605.982378
89.109255,158,3609.776104
-50.0,1,3609.807348
89.602229,589,3623.727621
-25.200885,11,3623.997202
419.324717,196,3628.652796
260.078333,154,3632.389752
62.036627,229,3637.785481
232.946621,421,3647.743753
342.891292,93,3649.947651
212.713464,45,3650.95136
394.622222,101,3653.396612
8.625258,21,3653.908352
246.21608,98,3656.219561
162.620044,93,3658.491596
355.3262,93,3660.762666
350.180735,61,3662.241975
443.704469,144,3665.817128
253.890227,429,3676.042332
259.341461,124,3679.004951
-50.0,1,3679.034624
166.536941,58,3680.402703
202.645786,53,3681.648553
-3.927929,201,3686.4191
239.300968,179,3690.676239
440.401439,138,3693.897371
323.837713,73,3695.663187
239.34192,152,3699.335157
16.702708,65,3700.957367
146.02048,76,3702.737014
306.232591,72,3704.584859
52.782189,19,3705.063009
-45.797459,14,3705.38038
151.420197,292,3712.446972
15.668971,30,3713.159539
167.816508,22,3713.713507
57.303634,62,3715.256426
35.787763,96,3717.468007
73.728389,74,3719.312419
120.874693,200,3724.028076
-5.822474,936,3740.186913
179.515503,44,3740.929866
-50.0,1,3740.963528
26.083307,444,3748.412121
352.37095,533,3757.38913
-32.645067,41,3758.449871
-28.460428,2,3758.498048
-19.436152,9,3758.760845
173.306005,33,3759.513225
195.7128,107,3762.091928
157.514969,87,3764.145381
232.077157,92,3766.391522
142.130307,73,3768.195895
480.467474,225,3773.57693
171.552663,107,3776.354424
177.160801,1445,3811.087432
336.443161,105,3813.568352
-32.46634,87,3815.683365
134.235214,22,3816.201086
218.016091,72,3817.911043
341.275777,108,3820.518735
353.304451,71,3822.216452
258.099264,105,3824.812843
-50.0,1,3824.84465
78.133779,49,3826.040526
248.410476,280,3832.814194
251.947725,165,3836.728401
29.579587,65,3838.29696
197.613994,121,3841.269112
308.689219,138,3844.534186
0.168516,201,3849.51925
23.421026,50,3850.709296
370.583737,103,3853.181812
171.988058,130,3856.382217
258.160822,67,3858.013434
273.15412,197,3862.728371
133.364706,53,3864.089548
-50.0,1,3864.119924
429.467459,130,3867.235915
288.824997,348,3875.377027
240.359698,61,3877.031361
194.570658,41,3878.028759
238.004517,160,3881.965593
8.928427,49,3883.139967
-48.487021,20,3883.600615
297.242585,562,3897.153719
147.22164,149,3900.710011
147.852176,239,3906.498501
350.281093,101,3908.895733
275.669857,57,3910.195624
-38.005688,6,3910.370266
207.42291,139,3913.678835
298.74341,66,3915.209862
259.672821,78,3917.16138
-31.740352,10,3917.444103
-50.0,1,3917.479784
230.114117,82,3919.576871
193.586932,102,3921.970895
329.525645,360,3930.704435
181.173576,100,3933.116336
246.679382,121,3935.931802
129.581395,217,3941.161936
418.426257,54,3942.409638
-50.0,1,3942.439125
114.170391,25,3943.08094
251.616544,82,3945.077353
313.680872,95,3947.339651
362.469153,127,3950.509411
86.116098,36,3951.43544
459.187962,105,3953.976678
265.501326,108,3956.629568
336.834828,58,3958.109896
1.724808,419,3968.276156
140.846845,310,3975.711175
218.806787,25,3976.275624
66.171968,17,3976.731614
388.488963,179,3981.151946
49.607783,39,3982.102442
182.842862,70,3983.861297
43.74424,23,3984.404166
166.652659,188,3989.036373
-26.480048,41,3990.098366
9.455409,68,3991.80463
156.667941,221,3997.212806
-3.028385,43,4000.276869
325.585032,119,4002.311304
175.928808,40,4003.018469
254.069188,122,4005.113588
394.126745,80,4006.492283
347.836563,49,4007.732414
196.986703,24,4008.377959
202.514215,97,4010.674783
150.690515,77,4012.551868
210.618298,214,4017.723616
359.723357,128,4020.706908
372.59987,162,4024.680028
366.720891,73,4026.462264
190.850527,59,4027.871447
-50.0,1,4027.902094
-50.0,1,4027.933551
206.452046,37,4028.90644
405.603639,124,4031.765352
278.437688,51,4032.960457
151.22847,44,4034.160615
202.609066,53,4035.418745
212.031563,67,4037.036668
-57.523387,2,4037.083645
265.78698,116,4039.847759
148.877095,34,4040.69367
173.720115,123,4043.686
98.040693,46,4044.854765
161.136891,38,4045.706415
-50.0,1,4045.805646
266.239518,185,4050.291137
13.926689,31,4051.039357
373.007714,164,4055.040489
149.307981,31,4055.810336
86.54468,119,4058.752996
159.756803,54,4060.042835
264.982862,132,4063.122418
171.883862,54,4064.483907
233.791033,92,4066.707372
-50.0,1,4066.737566
231.378087,48,4067.87577
411.522142,179,4072.202319
336.112892,320,4079.94715
402.465456,123,4082.837914
-29.868449,38,4083.805209
-50.0,1,4083.835438
262.928491,148,4087.40149
184.668335,80,4089.388247
219.613187,128,4092.405235
281.411639,46,4093.57819
130.273174,140,4096.96101
324.953997,131,4100.145055
450.379199,197,4104.953345
346.443508,76,4106.751248
9.648586,72,4108.535556
-14.227266,70,4110.234295
180.559403,91,4112.418341
192.681311,66,4113.996239
-6.791972,223,4119.569536
81.568592,130,4122.616628
232.141762,79,4124.435763
423.39961,133,4127.648858
355.629926,152,4131.29735
-12.813545,20,4131.770744
219.422762,56,4133.172304
-55.051595,4,4133.257042
-3.891641,27,4133.893932
415.314292,195,4138.580957
112.231978,54,4139.915769
284.882554,140,4143.257766
-8.092422,21,4143.749508
-50.0,1,4143.779309
167.496968,409,4153.629065
345.227946,104,4156.080688
370.207769,83,4158.00147
252.851697,82,4160.147019
-5.574164,84,4162.184641
185.461844,295,4169.12073
-50.0,1,4169.21406
5.677418,13,4169.526883
164.04652,17,4169.975064
119.739531,41,4170.940398
0.862739,72,4172.760922
349.984576,617,4187.662361
246.126379,262,4193.899079
197.273409,102,4196.341453
-42.659275,5,4196.438426
289.067277,170,4200.568635
387.466739,84,4202.594765
195.076229,143,4206.013242
219.408478,62,4207.453724
318.936634,182,4211.943629
252.312646,180,4216.254582
96.79578,30,4216.97999
120.803309,149,4220.496834
168.188112,51,4221.803435
166.1692,117,4224.517671
485.678303,123,4227.627825
312.030503,116,4230.34877
231.449589,134,4233.60877
156.711792,60,4235.040043
-27.240472,21,4235.615212
